id,accident_id,plate_number,vin,body_number,vehicle_type_id,mark_code,model_code,driver_guilt_option_id,traffic_direction_from,traffic_direction_to,object_id,is_drunk,is_unidentified_vehicle,is_vehicle_left_accident,driver_comment,yellow_number,is_damaged,is_circumstance_inconsistency,is_traffic_direction_inconsistency,is_road_sign_inconsistency,is_collision_sequence_inconsistency,accident_number,accident_date,is_injured_person,is_property_damage,road_condition_id,weather_condition_id,illumination_condition_id,visibility_condition_id,accident_classification_id,model_img,model_scheme,other,address_id,road_surface_condition_id,id-2,is_confirmation_passed
107720,50995,37DO698,1FA6P8AM2G5219700,,2,82,1128,3,????????,???? ????,520217,FALSE,FALSE,FALSE,,,FALSE,,,,,AYR120720220106889,2022-07-12 01:06:00+04,FALSE,FALSE,1,,,2,2,,,,94399,1,50995,FALSE
107719,50995,75SH755,3FA6P0G79DR337349,,2,82,1031,3,????????,????????,520220,FALSE,FALSE,FALSE,,,FALSE,,,,,AYR120720220106889,2022-07-12 01:06:00+04,FALSE,FALSE,1,,,2,2,,,,94399,1,50995,FALSE
107718,50995,55CC525,JTEBU3FJ70K052255,,2,265,167,3,??????????,????,520218,FALSE,FALSE,FALSE,,,FALSE,,,,,AYR120720220106889,2022-07-12 01:06:00+04,FALSE,FALSE,1,,,2,2,,,,94399,1,50995,FALSE
107722,50996,35GR357,RR1-1001977,,2,121,194,3,??????????,?????,522514,FALSE,FALSE,FALSE,,,FALSE,,,,,AAR150720220635200,2022-07-15 18:35:00+04,FALSE,FALSE,,,,,2,,,,94401,,50996,FALSE
107721,50996,36ZM732,WDB2020181A482749,,2,190,226,3,??????????,??????????? ?????????,522393,FALSE,FALSE,FALSE,,,FALSE,,,,,AAR150720220635200,2022-07-15 18:35:00+04,FALSE,FALSE,,,,,2,,,,94401,,50996,FALSE
107724,50997,10OB110,JM1GL1UM0K1501122,,2,188,20,3,????????,????????????,526299,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR260720221034427,2022-07-26 22:34:00+04,FALSE,FALSE,1,,,2,2,,,,94403,1,50997,FALSE
107723,50997,99AR988,WBANW13538CN54979,,2,26,89,3,????????,? ????????,526314,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR260720221034427,2022-07-26 22:34:00+04,FALSE,FALSE,1,,,2,2,,,,94403,1,50997,FALSE
107726,50998,35VX544,X9627050060097162,2.70501E+13,5,93,44,3,,,525608,FALSE,FALSE,FALSE,?? ???? ??????? ??? ?????? ?????? ?? ??? ????? ??????????,,TRUE,,,,,AAG270720220857379,2022-07-27 20:57:00+04,FALSE,FALSE,,,,,2,,,,94405,,50998,FALSE
107725,50998,33TO755,WDB2100351A312327,,2,190,269,3,??????????????,????,525545,FALSE,FALSE,FALSE,"?? ?????????  ??????? ??????? ?????? ?????????? ???? ?????? ???????????? ??? ?????? ???????, ??????? ????? ???? ??? 2-3 ?? ?????? ??????????",,TRUE,,,,,AAG270720220857379,2022-07-27 20:57:00+04,FALSE,FALSE,,,,,2,,,,94405,,50998,FALSE
107728,50999,36FF461,AK12-098293,,2,204,205,3,?????? ???????,?????????,526593,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR250720221125728,2022-07-25 23:25:00+04,FALSE,FALSE,,,,,2,,,,94407,,50999,FALSE
107727,50999,91XO100,4T1BF1FK8EU872010,,2,265,223,3,,,526701,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR250720221125728,2022-07-25 23:25:00+04,FALSE,FALSE,,,,,2,,,,94407,,50999,FALSE
107730,51000,36RR885,SHSRD78873U106152,,2,121,55,3,??????? ??????,???????,523743,FALSE,FALSE,FALSE,5.2 ??? ??? ?????? 1-? ??????? ? 3-?? ??????,,TRUE,,,,,AYR200720221025508,2022-07-20 22:25:00+04,FALSE,FALSE,1,,,2,2,,,,94409,1,51000,FALSE
107729,51000,37NO703,NMTBT0JE00R003342,,2,265,41,3,??????? ??????,???????,523744,FALSE,FALSE,FALSE,5.2 ?????? 2-? ??????? ? 1 ?????,,TRUE,,,,,AYR200720221025508,2022-07-20 22:25:00+04,FALSE,FALSE,1,,,2,2,,,,94409,1,51000,FALSE
107732,51001,867LO43,JL7BCE1J5AK010665,,1,194,3,3,????? ????????,?????? ?????,524811,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720221110453,2022-07-22 11:10:00+04,FALSE,FALSE,1,,,1,2,,,,94411,1,51001,FALSE
107731,51001,34NM827,W0L0TGF48X2068022,,2,210,14,3,???????? ?/? ?????,???????????,524752,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720221110453,2022-07-22 11:10:00+04,FALSE,FALSE,1,,,1,2,,,,94411,1,51001,FALSE
107734,51002,100II01,JTEBU3FJ60K110906,,2,265,167,3,?????????? ??,?????????,521462,FALSE,FALSE,FALSE,"5.3 ?????????? ???? 2-?? ????? 30-40 ???? ????? ??????? ??? ??? ?????? ??????:
5.8 ???????? ???",,FALSE,,,,,AYR210720220310413,2022-07-21 15:10:00+04,FALSE,FALSE,1,,,1,2,,,,94413,1,51002,FALSE
107735,51002,21II002,5NPEC4AC1EH824192,,2,127,83,3,?? ???????,??????????,521461,TRUE,FALSE,FALSE,,,FALSE,,,,,AYR210720220310413,2022-07-21 15:10:00+04,FALSE,FALSE,1,,,1,2,,,,94413,1,51002,FALSE
107733,51002,36ON003,WDB2030351A343540,,2,190,226,3,??????,?????????,521463,FALSE,FALSE,FALSE,,,FALSE,,,,,AYR210720220310413,2022-07-21 15:10:00+04,FALSE,FALSE,1,,,1,2,,,,94413,1,51002,FALSE
107737,51003,37GR393,1N4AL21E87C194602,,2,204,17,3,????????? ??,???-??? ??,527933,FALSE,FALSE,FALSE,5.3 ???????? ??? ?????? ?????? ???,,TRUE,,,,,AAM020820220255172,2022-08-02 14:55:00+04,FALSE,FALSE,,,,,2,,,,94415,,51003,FALSE
107736,51003,09NN799,WBAAN15070NC94018,,2,26,38,3,??????? ??,???????? ??,528010,FALSE,FALSE,FALSE,5?3 ?? ?????????,,TRUE,,,,,AAM020820220255172,2022-08-02 14:55:00+04,FALSE,FALSE,,,,,2,,,,94415,,51003,FALSE
107739,51004,35LM136,XTA211540A4893358,,2,280,82,3,?? ???????,?? ???????,527952,FALSE,FALSE,FALSE,,,TRUE,,,,,ASH020820220215930,2022-08-02 14:15:00+04,FALSE,FALSE,,,,,2,,,,94417,,51004,FALSE
107738,51004,35VV802,W0L0TGF48X2037593,,2,210,13,3,???????? ??,???? ???????,527953,FALSE,FALSE,FALSE,"5?3 ???????? ???, ???? ?? ?????? ??????? ??????? ? ????????",,TRUE,,,,,ASH020820220215930,2022-08-02 14:15:00+04,FALSE,FALSE,,,,,2,,,,94417,,51004,FALSE
107740,51005,78GG800,W0L0TGF75Y2069630,,2,210,133,3,????? ???????,???????,526169,FALSE,FALSE,FALSE,,,TRUE,,,,,AAM070720220145288,2022-07-07 01:45:00+04,FALSE,FALSE,,,,,2,,,,94419,,51005,FALSE
107741,51005,75AJ700,W0L0TGF48Y6062641,,2,210,13,3,,,526246,FALSE,FALSE,FALSE,"????? ???? ??? ??????, ???????? ????? ???? ?????? ?? ?? ??? ??????",,TRUE,,,,,AAM070720220145288,2022-07-07 01:45:00+04,FALSE,FALSE,,,,,2,,,,94419,,51005,FALSE
107746,51006,36TG308,XTA212130Y1457857,1457857,2,280,86,3,???? ???,???????,520481,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR130720220905743,2022-07-13 09:05:00+04,FALSE,FALSE,1,,,1,2,,,,94421,1,51006,FALSE
107745,51006,36GV154,KMHDT41BP8U582227,,2,127,19,3,???? ???,???????,520480,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR130720220905743,2022-07-13 09:05:00+04,FALSE,FALSE,1,,,1,2,,,,94421,1,51006,FALSE
107744,51006,34QA764,W0L0TGF4835033585,,2,279,8,3,???? ???,???????,520583,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR130720220905743,2022-07-13 09:05:00+04,FALSE,FALSE,1,,,1,2,,,,94421,1,51006,FALSE
107743,51006,01AX909,SC11-099568,,2,204,306,3,???? ????,??????????,520585,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR130720220905743,2022-07-13 09:05:00+04,FALSE,FALSE,1,,,1,2,,,,94421,1,51006,FALSE
107742,51006,900VV97,JMBFE444F0KA61430,,5,194,,3,??? ???,???????,520581,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR130720220905743,2022-07-13 09:05:00+04,FALSE,FALSE,1,,,1,2,,,,94421,1,51006,FALSE
107748,51007,17BB177,J31-122336,,2,204,196,3,?????????,???????? ????,522813,FALSE,FALSE,FALSE,5.3 ??????? ??????? ? ????? ?????????????,,FALSE,,,,,AYR180720220130215,2022-07-18 13:30:00+04,FALSE,FALSE,1,,,1,2,,,,94423,1,51007,FALSE
107747,51007,30SO672,XTA21101060920276,920276,2,280,62,3,?????????,???????,522724,FALSE,FALSE,FALSE,,,FALSE,,,,,AYR180720220130215,2022-07-18 13:30:00+04,FALSE,FALSE,1,,,1,2,,,,94423,1,51007,FALSE
107750,51008,71RQ711,WVWZZZ1KZ5W230780,,2,282,42,3,??????? ?,???? ????????? ?,524106,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR210720220545478,2022-07-21 17:45:00+04,FALSE,FALSE,1,,,1,2,,,,94425,1,51008,FALSE
107749,51008,78YY007,W0L0TGF7552076629,,2,210,160,3,??????? ?,???? ????????? ?,523981,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR210720220545478,2022-07-21 17:45:00+04,FALSE,FALSE,1,,,1,2,,,,94425,1,51008,FALSE
107752,51009,37ND904,WDB2030351A089842,,2,190,226,3,,,524683,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720220150035,2022-07-22 13:50:00+04,FALSE,FALSE,,,,,2,,,,94427,,51009,FALSE
